n,N,FP & SC,FP & Rec,FP & NoC,FP & Ord,FP & Inv,FP & Evn,SC & Noc,SC & Rec,SC & Ord,SC & Inv,SC & Evn,Rec & NoC,Rec & Ord,Rec & Inv,Rec & Evn,Noc & Ord,Noc & Inv,Noc & Evn,Ord & Inv,Ord & Evn,Inv & Evn
10,1024,-0.516,0.125,0.775,-0.298,-0.297,0.008,-0.03,-0.652,0.029,0.124,-0.239,0.118,-0.055,-0.541,-0.011,-0.179,-0.202,0.032,0.042,-0.094,-0.018
10,4096,-0.512,0.104,0.766,-0.294,-0.344,-0.013,-0.022,-0.647,0.014,0.166,-0.234,0.076,-0.05,-0.541,0.02,-0.162,-0.255,0.018,0.103,-0.146,0.001
10,16384,-0.506,0.109,0.761,-0.289,-0.323,-0.006,-0.043,-0.639,0.015,0.146,-0.228,0.086,-0.025,-0.533,0.006,-0.164,-0.24,0.002,0.096,-0.139,-0.003
10,65536,-0.509,0.115,0.766,-0.292,-0.325,-0.001,-0.045,-0.649,0.011,0.148,-0.232,0.081,-0.038,-0.541,0.0,-0.162,-0.237,0.01,0.092,-0.136,-0.001
10,262144,-0.508,0.111,0.766,-0.294,-0.33,-0.001,-0.043,-0.647,0.014,0.155,-0.23,0.081,-0.032,-0.54,0.0,-0.163,-0.244,0.007,0.095,-0.138,0.003
25,1024,-0.372,0.018,0.667,-0.097,-0.189,-0.018,-0.012,-0.526,-0.11,0.073,0.145,-0.005,-0.01,-0.364,0.004,0.149,-0.118,0.004,0.0,-0.1,-0.023
25,4096,-0.379,0.033,0.647,-0.093,-0.213,-0.012,-0.001,-0.514,-0.074,0.06,0.118,0.023,-0.011,-0.337,0.004,0.133,-0.132,0.008,0.02,-0.102,-0.005
25,16384,-0.383,0.028,0.643,-0.092,-0.199,0.017,-0.015,-0.521,-0.076,0.075,0.122,0.017,-0.0,-0.329,0.005,0.141,-0.119,0.007,0.018,-0.127,-0.011
25,65536,-0.384,0.036,0.649,-0.082,-0.212,0.002,-0.016,-0.524,-0.082,0.082,0.13,0.029,0.003,-0.336,-0.005,0.152,-0.139,-0.004,0.01,-0.134,0.004
25,262144,-0.382,0.028,0.647,-0.088,-0.204,0.001,-0.011,-0.52,-0.079,0.077,0.13,0.02,0.001,-0.334,-0.001,0.149,-0.13,-0.004,0.016,-0.126,0.001
50,1024,-0.315,0.053,0.606,-0.1,-0.207,-0.018,0.015,-0.411,-0.029,0.064,-0.029,0.042,-0.041,-0.19,-0.059,0.166,-0.086,-0.035,0.081,-0.042,-0.001
50,4096,-0.314,-0.016,0.567,-0.013,-0.151,0.006,0.023,-0.433,-0.059,0.044,-0.081,-0.026,0.011,-0.23,-0.01,0.219,-0.072,-0.003,-0.007,-0.033,0.003
50,16384,-0.309,-0.001,0.572,-0.015,-0.129,-0.015,-0.002,-0.432,-0.051,0.042,-0.079,0.008,0.003,-0.226,0.004,0.2,-0.073,-0.013,-0.001,-0.032,0.01
50,65536,-0.31,0.014,0.575,-0.028,-0.144,-0.001,-0.003,-0.433,-0.049,0.048,-0.083,0.009,-0.002,-0.219,-0.003,0.195,-0.088,-0.001,0.002,-0.032,-0.002
50,262144,-0.308,0.014,0.58,-0.029,-0.145,-0.002,-0.005,-0.435,-0.049,0.045,-0.083,0.008,-0.001,-0.226,0.001,0.187,-0.082,0.001,0.005,-0.033,0.002
100,1024,-0.243,0.048,0.545,-0.036,-0.096,-0.032,-0.019,-0.387,-0.027,0.001,-0.087,0.047,0.012,-0.144,0.054,0.184,-0.1,0.014,-0.019,0.063,-0.024
100,4096,-0.239,-0.014,0.522,-0.017,-0.083,0.015,0.006,-0.355,-0.015,0.04,-0.074,-0.01,0.007,-0.138,0.017,0.144,-0.055,0.008,-0.014,0.001,0.002
100,16384,-0.246,-0.008,0.522,-0.016,-0.107,-0.002,0.014,-0.367,-0.023,0.012,-0.058,-0.004,0.011,-0.141,-0.009,0.163,-0.051,-0.007,-0.003,-0.009,-0.001
100,65536,-0.247,0.002,0.518,-0.007,-0.102,-0.001,0.0,-0.362,-0.015,0.029,-0.057,-0.001,0.004,-0.145,0.001,0.112,-0.056,-0.006,0.002,-0.004,-0.0
100,262144,-0.245,0.007,0.526,-0.003,-0.098,-0.0,-0.001,-0.362,-0.014,0.026,-0.059,0.0,-0.0,-0.151,0.0,0.105,-0.053,-0.001,-0.0,-0.003,0.001
200,1024,-0.185,0.027,0.492,-0.067,-0.068,-0.033,-0.005,-0.301,-0.017,0.056,-0.033,0.067,-0.001,-0.151,-0.016,0.155,0.001,-0.031,-0.01,-0.033,0.016
200,16384,-0.196,-0.004,0.482,0.003,-0.081,0.007,-0.005,-0.297,-0.005,0.019,-0.043,-0.01,-0.004,-0.116,-0.009,0.067,-0.036,0.003,-0.004,0.008,-0.012
200,65536,-0.195,0.006,0.482,-0.002,-0.07,-0.004,0.001,-0.294,-0.003,0.019,-0.04,0.008,0.002,-0.102,0.003,0.037,-0.033,0.004,0.001,-0.004,0.0
200,262144,-0.193,0.001,0.482,-0.004,-0.066,0.002,0.002,-0.301,-0.003,0.011,-0.044,0.002,0.003,-0.101,0.001,0.039,-0.034,0.002,0.0,-0.002,-0.001
500,1024,-0.132,-0.028,0.446,0.013,-0.056,0.011,0.051,-0.227,-0.008,0.035,-0.045,-0.062,-0.023,-0.132,0.036,0.18,-0.047,-0.009,0.017,0.053,0.004
500,16384,-0.138,0.008,0.439,-0.002,-0.048,0.003,0.001,-0.229,-0.004,0.002,-0.026,0.005,-0.0,-0.062,0.007,0.062,-0.024,0.005,-0.011,-0.008,-0.008
500,65536,-0.14,-0.001,0.441,-0.001,-0.047,0.001,-0.003,-0.229,-0.001,0.014,-0.028,0.004,0.002,-0.065,-0.0,0.034,-0.02,0.003,0.001,0.002,-0.0
500,262144,-0.142,0.004,0.44,-0.001,-0.046,0.003,0.001,-0.227,-0.001,0.008,-0.023,0.003,-0.001,-0.058,-0.002,0.018,-0.021,0.004,0.001,-0.002,0.001
1000,1024,-0.104,0.021,0.402,0.04,-0.033,-0.051,-0.01,-0.196,-0.005,-0.017,-0.041,0.029,-0.017,-0.072,-0.031,0.101,0.042,-0.013,-0.006,0.045,0.011
1000,16384,-0.108,-0.006,0.416,-0.002,-0.033,0.014,-0.002,-0.185,-0.001,0.013,-0.022,-0.002,-0.006,-0.033,0.003,0.039,-0.006,0.01,0.019,-0.012,-0.006
1000,65536,-0.108,0.006,0.416,0.003,-0.027,-0.009,-0.006,-0.184,-0.001,0.004,-0.018,0.003,-0.002,-0.038,0.0,0.029,-0.011,-0.001,0.005,-0.005,0.005
